Source 1 X=0.000000
1500.000000 0.000000 1.248762
1480.000000 0.000000 1.233812
1480.000000 0.000000 1.232374
1500.000000 0.000000 1.240709
1500.000000 0.000000 1.246147
1520.000000 0.000000 1.253143
1540.000000 0.000000 1.264407
1560.000000 0.000000 1.278688
1580.000000 0.000000 1.300627
1640.000000 0.000000 1.330102
1660.000000 0.000000 1.348662
1740.000000 0.000000 1.398922
1820.000000 0.000000 1.455776
Reflector 2
X   Z   T
20.000000 780.000000 0.479683
40.000000 780.000000 0.475902
60.000000 780.000000 0.472265
80.000000 780.000000 0.470107
120.000000 780.000000 0.464931
140.000000 780.000000 0.463065
160.000000 780.000000 0.461385
200.000000 780.000000 0.459594
220.000000 780.000000 0.458870
240.000000 780.000000 0.458250
260.000000 780.000000 0.458088
280.000000 780.000000 0.459594
320.000000 780.000000 0.461530
2200.000000 0.000000 1.775820
2040.000000 0.000000 1.672953
1980.000000 0.000000 1.620601
1900.000000 0.000000 1.565642
1840.000000 0.000000 1.524317
1800.000000 0.000000 1.493708
1760.000000 0.000000 1.458341
1720.000000 0.000000 1.430331
1700.000000 0.000000 1.407709
1660.000000 0.000000 1.381632
1640.000000 0.000000 1.362198
1620.000000 0.000000 1.348507
1600.000000 0.000000 1.330486
1600.000000 0.000000 1.326899
1580.000000 0.000000 1.312265
1580.000000 0.000000 1.309946
1580.000000 0.000000 1.307513
1580.000000 0.000000 1.307250
1600.000000 0.000000 1.317851
1620.000000 0.000000 1.328762
1620.000000 0.000000 1.332201
1660.000000 0.000000 1.354562
1700.000000 0.000000 1.381206
1740.000000 0.000000 1.409327
1780.000000 0.000000 1.438730
1900.000000 0.000000 1.510185
2020.000000 0.000000 1.589018
Source 8 X=280.000000
Reflector 1
X   Z   T
0.000000 740.000000 0.474623
40.000000 740.000000 0.466108
60.000000 740.000000 0.461573
80.000000 740.000000 0.454242
120.000000 740.000000 0.450728
140.000000 740.000000 0.447500
160.000000 740.000000 0.445276
180.000000 740.000000 0.443132
200.000000 740.000000 0.440697
240.000000 740.000000 0.438193
260.000000 740.000000 0.434856
280.000000 740.000000 0.434251
300.000000 740.000000 0.434592
320.000000 740.000000 0.435634
360.000000 740.000000 0.440697
1960.000000 0.000000 1.588614
1860.000000 0.000000 1.521603
1800.000000 0.000000 1.477801
1760.000000 0.000000 1.445693
1740.000000 0.000000 1.416840
1700.000000 0.000000 1.386729
1680.000000 0.000000 1.371669
1660.000000 0.000000 1.345844
1620.000000 0.000000 1.318026
1600.000000 0.000000 1.302883
1580.000000 0.000000 1.287019
1560.000000 0.000000 1.268826
1560.000000 0.000000 1.266037
1540.000000 0.000000 1.247942
